5 Minutes,Lane 1 Flow (Veh/5 Minutes),# Lane Points,% Observed
06/01/2016 10:40,52,1,100
06/01/2016 10:45,55,1,100
06/01/2016 10:50,49,1,100
06/01/2016 10:55,45,1,100
06/01/2016 11:00,46,1,100
06/01/2016 11:05,46,1,100
06/01/2016 11:10,45,1,100
06/01/2016 11:15,48,1,100
06/01/2016 11:20,38,1,100
06/01/2016 11:25,45,1,100
06/01/2016 11:30,40,1,100
06/01/2016 11:35,37,1,100
06/01/2016 11:40,39,1,100
06/01/2016 11:45,32,1,100
06/01/2016 11:50,38,1,100
06/01/2016 11:55,36,1,100
06/01/2016 12:00,31,1,100
06/01/2016 12:05,36,1,100
06/01/2016 12:10,39,1,100
06/01/2016 12:15,34,1,100
06/01/2016 12:20,49,1,100
06/01/2016 12:25,45,1,100
06/01/2016 12:30,51,1,100
06/01/2016 12:35,43,1,100
06/01/2016 12:40,39,1,100
06/01/2016 12:45,40,1,100
06/01/2016 12:50,48,1,100
06/01/2016 12:55,31,1,100
06/01/2016 13:00,30,1,100
06/01/2016 13:05,37,1,100
06/01/2016 13:10,38,1,100
06/01/2016 13:15,39,1,100
06/01/2016 13:20,34,1,100
06/01/2016 13:25,36,1,100
06/01/2016 13:30,38,1,100
06/01/2016 13:35,39,1,100
06/01/2016 13:40,21,1,100
06/01/2016 13:45,30,1,100
06/01/2016 13:50,33,1,100
06/01/2016 13:55,27,1,100
06/01/2016 14:00,26,1,100
06/01/2016 14:05,25,1,100
06/01/2016 14:10,32,1,100
06/01/2016 14:15,40,1,100
06/01/2016 14:20,39,1,100
06/01/2016 14:25,37,1,100
06/01/2016 14:30,34,1,100
06/01/2016 14:35,41,1,100
06/01/2016 14:40,37,1,100
06/01/2016 14:45,45,1,100
06/01/2016 14:50,35,1,100
06/01/2016 14:55,41,1,100
06/01/2016 15:00,37,1,100
06/01/2016 15:05,41,1,100
06/01/2016 15:10,35,1,100
06/01/2016 15:15,39,1,100
06/01/2016 15:20,37,1,100
06/01/2016 15:25,39,1,100
06/01/2016 15:30,39,1,100
06/01/2016 15:35,43,1,100
06/01/2016 15:40,44,1,100
06/01/2016 15:45,43,1,100
06/01/2016 15:50,43,1,100
06/01/2016 15:55,39,1,100
06/01/2016 16:00,30,1,100
06/01/2016 16:05,37,1,100
06/01/2016 16:10,37,1,100
06/01/2016 16:15,41,1,100
06/01/2016 16:20,39,1,100
06/01/2016 16:25,40,1,100
06/01/2016 16:30,42,1,100
06/01/2016 16:35,35,1,100
06/01/2016 16:40,37,1,100
06/01/2016 16:45,41,1,100
06/01/2016 16:50,44,1,100
06/01/2016 16:55,37,1,100
06/01/2016 17:00,34,1,100
06/01/2016 17:05,34,1,100
06/01/2016 17:10,45,1,100
06/01/2016 17:15,48,1,100
06/01/2016 17:20,41,1,100
06/01/2016 17:25,40,1,100
06/01/2016 17:30,38,1,100
06/01/2016 17:35,39,1,100
06/01/2016 17:40,42,1,100
06/01/2016 17:45,36,1,100
06/01/2016 17:50,39,1,100
06/01/2016 17:55,37,1,100
06/01/2016 18:00,32,1,100
06/01/2016 18:05,38,1,100
06/01/2016 18:10,36,1,100
06/01/2016 18:15,43,1,100
06/01/2016 18:20,33,1,100
06/01/2016 18:25,38,1,100
06/01/2016 18:30,36,1,100
06/01/2016 18:35,30,1,100
06/01/2016 18:40,35,1,100
06/01/2016 18:45,27,1,100
06/01/2016 18:50,18,1,100
06/01/2016 18:55,24,1,100
06/01/2016 19:00,35,1,100
06/01/2016 19:05,29,1,100
06/01/2016 19:10,30,1,100
06/01/2016 19:15,30,1,100
06/01/2016 19:20,30,1,100
06/01/2016 19:25,30,1,100
06/01/2016 19:30,27,1,100
06/01/2016 19:35,34,1,100
06/01/2016 19:40,30,1,100
06/01/2016 19:45,25,1,100
06/01/2016 19:50,28,1,100
06/01/2016 19:55,23,1,100
06/01/2016 20:00,19,1,100
06/01/2016 20:05,20,1,100
